Time,Queue1,Queue3
0,0,0
100,9,0
200,3,2
300,1,0
400,14,0
500,15,0
600,9,0
700,13,0
800,27,1
900,45,0
1000,44,0
1100,42,0
1200,37,0
1300,47,0
1400,54,0
1500,69,0
1600,76,2
1700,75,2
1800,74,1
1900,70,0
2000,78,0
2100,76,0
2200,80,0
2300,86,0
2400,77,0
2500,73,0
2600,74,0
2700,79,0
2800,88,0
2900,99,1
3000,95,2
3100,97,4
3200,103,0
3300,99,0
3400,103,5
3500,100,1
3600,95,4
3700,94,0
3800,103,0
3900,103,0
4000,107,0
4100,109,0
4200,113,5
4300,116,0
4400,134,3
4500,131,0
4600,133,0
4700,145,0
4800,157,4
4900,169,4
5000,172,0
5100,181,0
5200,190,1
5300,193,0
5400,186,2
5500,190,0
5600,198,1
5700,209,0
5800,224,0
5900,228,0
6000,235,4
6100,230,0
6200,228,0
6300,228,1
6400,229,0
6500,239,0
6600,253,0
6700,263,0
6800,265,0
6900,258,0
7000,268,0
7100,272,0
7200,284,6
7300,288,4
7400,289,0
7500,306,0
7600,320,2
7700,333,0
7800,337,3
7900,338,0
8000,333,0
8100,340,2
8200,332,0
8300,333,0
8400,333,0
8500,338,0
8600,355,0
8700,364,0
8800,360,0
8900,359,0
9000,351,0
9100,365,2
9200,369,0
9300,373,1
9400,386,2
9500,387,0
9600,390,1
9700,394,1
9800,409,6
9900,403,0
10000,412,0
10100,417,0
10200,429,0
10300,433,0
10400,435,0
10500,439,0
10600,449,1
10700,458,1
10800,446,0
10900,450,5
11000,456,12
11100,452,0
11200,451,0
11300,453,6
11400,462,2
11500,461,0
11600,470,2
11700,467,0
11800,474,9
11900,478,0
12000,488,5
12100,497,0
12200,495,0
12300,495,0
12400,501,0
12500,501,0
12600,501,4
12700,510,0
12800,512,0
12900,512,0
13000,515,0
13100,522,0
13200,516,0
13300,523,0
13400,535,0
13500,542,0
13600,563,2
13700,585,11
13800,587,0
13900,600,4
14000,602,0
14100,595,0
14200,592,0
14300,593,0
14400,598,0
14500,600,0
14600,605,3
14700,613,0
14800,614,0
14900,617,0
15000,616,0
15100,621,0
15200,602,0
15300,606,2
15400,616,4
15500,623,2
15600,630,0
15700,629,0
15800,635,0
15900,639,0
16000,646,0
16100,645,0
16200,636,0
16300,635,0
16400,647,2
16500,633,0
16600,637,1
16700,643,0
16800,649,0
16900,635,0
17000,649,0
17100,652,1
17200,654,0
17300,652,5
17400,647,0
17500,642,0
17600,643,0
17700,654,0
17800,652,0
17900,670,0
18000,676,2
18100,679,0
18200,677,0
18300,682,0
18400,690,4
18500,690,0
18600,700,2
18700,701,3
18800,711,0
18900,710,0
19000,719,0
19100,724,0
19200,739,0
19300,749,0
19400,760,7
19500,762,0
19600,766,0
19700,769,5
19800,782,8
19900,779,3
20000,770,0
20100,772,0
20200,769,0
20300,776,1
20400,781,0
20500,790,1
20600,787,3
20700,805,0
20800,819,0
20900,828,3
21000,842,0
21100,837,0
21200,840,2
21300,852,6
21400,858,1
21500,856,0
21600,867,0
21700,866,0
21800,871,0
21900,877,0
22000,872,0
22100,867,1
22200,879,3
22300,892,0
22400,900,5
22500,903,0
22600,906,0
22700,896,0
22800,899,0
22900,903,3
23000,907,0
23100,899,0
23200,915,1
23300,930,5
23400,919,0
23500,928,0
23600,925,3
23700,934,0
23800,940,2
23900,945,0
24000,954,0
24100,956,0
24200,978,0
24300,989,4
24400,995,1
24500,988,0
24600,1009,0
24700,1018,0
24800,1026,0
24900,1028,1
25000,1027,0
25100,1019,0
25200,1022,0
25300,1019,1
25400,1016,0
25500,1027,0
25600,1020,0
25700,1028,0
25800,1046,0
25900,1055,0
26000,1062,0
26100,1072,2
26200,1083,0
26300,1096,0
26400,1085,0
26500,1085,0
26600,1091,0
26700,1099,0
26800,1096,1
26900,1105,8
27000,1108,0
27100,1111,0
27200,1128,0
27300,1136,0
27400,1131,0
27500,1133,2
27600,1130,0
27700,1132,0
27800,1143,0
27900,1156,4
28000,1160,3
28100,1153,0
28200,1157,0
28300,1154,2
28400,1155,0
28500,1155,0
28600,1150,1
28700,1153,4
28800,1151,0
28900,1163,4
29000,1172,1
29100,1170,0
29200,1172,0
29300,1171,2
29400,1169,0
29500,1182,2
29600,1183,0
29700,1182,1
29800,1190,3
29900,1194,0
30000,1194,0
30100,1207,0
