Time,Регулярный,Пуассоновский,Эрланга 3-го порядка
0,0,0,0
100,44,9,11
200,84,4,16
300,121,4,28
400,163,3,40
500,197,6,53
600,235,1,47
700,270,5,49
800,314,11,45
900,354,4,41
1000,394,11,54
1100,427,9,60
1200,467,14,63
1300,499,23,71
1400,545,29,74
1500,590,35,73
1600,639,34,75
1700,683,44,88
1800,720,46,91
1900,753,48,104
2000,785,49,112
2100,818,46,120
2200,861,47,118
2300,895,57,135
2400,935,59,136
2500,973,64,144
2600,1006,66,158
2700,1047,68,158
2800,1080,72,160
2900,1116,81,163
3000,1146,77,167
3100,1180,83,163
3200,1223,92,165
3300,1268,84,166
3400,1317,80,182
3500,1357,62,185
3600,1395,60,189
3700,1431,69,196
3800,1469,75,205
3900,1510,85,213
4000,1547,82,214
4100,1578,82,217
4200,1607,86,214
4300,1639,94,222
4400,1675,103,232
4500,1718,101,247
4600,1764,105,255
4700,1800,102,262
4800,1847,108,268
4900,1879,105,266
5000,1914,105,265
5100,1959,103,274
5200,1991,98,284
5300,2033,90,294
5400,2073,89,300
5500,2112,89,297
5600,2155,80,319
5700,2191,80,326
5800,2230,75,332
5900,2267,69,339
6000,2308,78,341
6100,2351,85,348
6200,2385,82,361
6300,2424,87,374
6400,2462,94,376
6500,2502,88,381
6600,2548,95,394
6700,2586,92,395
6800,2634,86,399
6900,2676,83,402
7000,2721,80,407
7100,2762,78,419
7200,2797,78,435
7300,2838,85,446
7400,2872,83,448
7500,2905,82,456
7600,2941,85,463
7700,2982,94,465
7800,3017,104,469
7900,3056,108,477
8000,3096,104,481
8100,3127,102,490
8200,3171,107,509
8300,3210,105,512
8400,3255,106,526
8500,3295,109,530
8600,3343,99,535
8700,3379,103,551
8800,3418,104,564
8900,3453,100,566
9000,3495,103,570
9100,3536,109,570
9200,3581,118,565
9300,3620,126,566
9400,3659,142,563
9500,3701,143,564
9600,3740,145,566
9700,3782,141,565
9800,3819,147,577
9900,3854,139,584
10000,3902,154,587
10100,3946,156,585
10200,3978,137,586
10300,4016,127,595
10400,4051,128,595
10500,4096,142,593
10600,4137,137,597
10700,4179,143,607
10800,4213,136,601
10900,4245,136,609
11000,4286,142,615
11100,4334,147,614
11200,4375,137,629
11300,4423,143,628
11400,4462,137,631
11500,4498,123,641
11600,4537,127,646
11700,4583,132,649
11800,4624,126,650
11900,4667,126,654
12000,4706,126,657
12100,4741,127,656
12200,4774,141,654
12300,4812,159,672
12400,4849,155,673
12500,4895,146,665
12600,4933,144,681
12700,4976,148,681
12800,5021,147,690
12900,5056,133,689
13000,5096,130,693
13100,5135,135,714
13200,5178,135,716
13300,5216,141,723
13400,5255,135,725
13500,5292,129,733
13600,5334,121,728
13700,5364,123,746
13800,5408,127,744
13900,5440,130,748
14000,5474,135,759
14100,5510,125,755
14200,5544,128,759
14300,5587,130,767
14400,5618,130,775
14500,5651,124,772
14600,5685,120,776
14700,5722,111,781
14800,5751,107,790
14900,5788,95,802
15000,5823,103,812
15100,5860,97,808
15200,5898,102,813
15300,5944,100,830
15400,5992,106,838
15500,6025,101,842
15600,6059,103,847
15700,6105,107,854
15800,6139,95,855
15900,6176,93,865
16000,6212,88,868
16100,6252,88,865
16200,6290,94,869
16300,6325,98,876
16400,6366,90,877
16500,6397,91,887
16600,6431,92,889
16700,6468,97,898
16800,6511,103,903
16900,6555,104,911
17000,6597,97,920
17100,6645,108,921
17200,6686,109,922
17300,6721,115,927
17400,6759,102,929
17500,6798,100,934
17600,6835,93,935
17700,6875,84,941
17800,6909,69,946
17900,6946,65,954
18000,6986,70,958
18100,7022,68,960
18200,7062,69,975
18300,7104,68,979
18400,7139,80,982
18500,7174,85,989
18600,7215,91,998
18700,7255,90,1006
18800,7299,79,1010
18900,7341,92,1011
19000,7382,95,1018
19100,7418,96,1021
19200,7465,98,1022
19300,7505,103,1022
19400,7546,111,1030
19500,7586,121,1031
19600,7620,123,1042
19700,7664,125,1049
19800,7698,108,1049
19900,7734,103,1054
20000,7770,109,1061
20100,7804,106,1054
20200,7833,109,1071
20300,7866,105,1081
20400,7901,112,1089
20500,7932,123,1086
20600,7975,122,1102
20700,8016,115,1110
20800,8053,116,1113
20900,8090,122,1113
21000,8124,139,1112
21100,8164,140,1125
21200,8201,137,1133
21300,8236,128,1146
21400,8271,135,1144
21500,8313,135,1149
21600,8354,140,1150
21700,8388,142,1156
21800,8420,149,1169
21900,8461,157,1175
22000,8499,152,1197
22100,8537,157,1197
22200,8576,156,1201
22300,8616,164,1212
22400,8654,163,1217
22500,8690,157,1225
22600,8727,151,1239
22700,8761,150,1239
22800,8790,154,1249
22900,8825,165,1248
23000,8864,163,1251
23100,8904,165,1251
23200,8945,163,1255
23300,8980,170,1253
23400,9019,168,1250
23500,9055,182,1248
23600,9092,192,1254
23700,9122,210,1269
23800,9163,205,1278
23900,9206,205,1283
24000,9246,205,1291
24100,9282,197,1306
24200,9330,207,1303
24300,9364,212,1304
24400,9402,217,1305
24500,9444,226,1312
24600,9479,233,1324
24700,9523,227,1333
24800,9568,211,1340
24900,9612,211,1350
25000,9651,215,1359
25100,9687,209,1353
25200,9720,207,1351
25300,9756,205,1357
25400,9792,211,1358
25500,9832,197,1358
25600,9874,183,1365
25700,9916,186,1367
25800,9958,194,1375
25900,9991,187,1379
26000,10033,181,1379
26100,10078,190,1383
26200,10124,198,1389
26300,10160,197,1397
26400,10199,192,1402
26500,10236,200,1406
26600,10281,195,1402
26700,10317,194,1416
26800,10351,191,1431
26900,10397,201,1433
27000,10432,209,1430
27100,10469,212,1429
27200,10514,210,1423
27300,10551,217,1434
27400,10593,221,1442
27500,10630,222,1447
