n,execution_time
50,.009375989
100,.006868475
150,.011059731
200,.005890446
250,.007299729
300,.008806453
350,.012154344
400,.006653790
450,.008259366
500,.006206839
550,.006877220
600,.007180852
650,.006071823
700,.007520985
750,.004699264
800,.005254614
850,.005899342
900,.008145618
950,.007952491
1000,.008092395
1050,.004935367
1100,.004995652
1150,.005021557
1200,.008057113
1250,.005832174
1300,.004705275
1350,.005053773
1400,.007219849
1450,.010693361
1500,.005162213
1550,.009581708
1600,.010261628
1650,.006764816
1700,.006955839
1750,.005240260
1800,.008291815
1850,.004801613
1900,.005260215
1950,.005699544
2000,.005579533
