n,execution_time
50,0.118422054
100,0.121531237
150,0.101117236
200,0.060983683
250,0.442715058
300,0.446057276
350,0.795178674
400,1.351648753
450,1.951379305
500,2.245375392
550,3.899110749
600,2.652183794
650,6.376779864
700,6.847758906
750,6.366472168
800,5.574103040
850,6.494845063
900,8.389004279
950,15.554121038
1000,15.915031023
1050,2.558466035
1100,12.802713657
1150,16.236393387
1200,16.278344337
1250,4.808256167
1300,24.343930375
1350,16.626760328
1400,6.372936938
1450,16.231093646
1500,31.485328298
1550,10.995123511
1600,25.242310330
1650,26.807224135
1700,21.989638311
1750,31.604026257
1800,49.659129619
1850,24.369663058
1900,81.653608897
1950,74.121279662
2000,9.649174585
