Step	State	Value
0	0	0.0073
1	0	0.0725
2	8	0.1177
3	8	0.0739
4	4	0.0352
5	4	0.0321
6	4	0.0291
7	3	0.0904
8	3	0.1639
9	5	0.1986
10	5	0.1004
11	5	0.0135
12	1	0.0055
13	6	0.3452
14	6	0.0848
15	6	0.0627
16	6	0.0840
17	9	0.0944
18	7	0.2077
19	4	0.0515
20	4	0.1461
21	4	0.2433
22	0	0.1468
23	0	0.0122
24	0	0.0462
25	9	0.0026
26	9	0.0587
27	4	0.0046
28	4	0.0057
29	0	0.0080
30	0	0.0393
31	0	0.0303
32	6	0.0721
33	6	0.0146
34	6	0.4375
35	6	0.0796
36	6	0.0228
37	6	0.1458
38	8	0.3075
39	8	0.0770
40	8	0.1914
41	8	0.0378
42	8	0.1247
43	8	0.1536
44	8	0.0463
45	8	0.0492
46	8	0.0506
47	8	0.0863
48	8	0.0715
49	8	0.0334
50	8	0.0277
51	8	0.0281
52	8	0.0329
53	0	0.0529
54	0	0.2152
55	7	0.0801
56	7	0.0693
57	7	0.0017
58	6	0.0243
59	6	0.3394
60	6	0.1071
61	6	0.0316
62	1	0.4795
63	4	0.2953
64	4	0.0804
65	4	0.4577
66	4	0.0052
67	4	0.0261
68	4	0.0272
69	4	0.0823
70	3	0.0857
71	3	0.1884
72	2	0.3230
73	5	0.0316
74	5	0.1084
75	5	0.1410
76	5	0.0883
77	0	0.0442
78	0	0.1989
79	0	0.0073
80	0	0.0755
81	0	0.0218
82	0	0.0346
83	0	0.2359
84	0	0.0054
85	0	0.1035
86	0	0.0831
87	0	0.1182
88	0	0.0427
89	8	0.1186
90	0	0.0212
91	0	0.0375
92	2	0.0623
93	2	0.0425
94	2	0.3283
95	2	0.1309
96	2	0.0644
97	7	0.0064
98	7	0.0417
99	8	0.0338
100	8	0.0554
101	8	0.0013
102	9	0.0530
103	9	0.0699
104	9	0.1085
105	5	0.1410
106	5	0.1002
107	1	0.0968
108	1	0.1298
109	8	0.0526
110	8	0.0467
111	4	0.0187
112	5	0.0049
113	5	0.0924
114	5	0.0216
115	6	0.1509
116	6	0.1658
117	6	0.0912
118	6	0.0678
119	3	0.3334
120	3	0.0331
121	3	0.4584
122	6	0.1506
123	6	0.4924
124	6	0.0835
125	6	0.0199
126	7	0.0757
127	7	0.1484
128	7	0.0868
129	7	0.3191
130	7	0.0289
131	7	0.0485
132	1	0.0739
133	9	0.0312
134	0	0.0067
135	0	0.0164
136	0	0.2875
137	0	0.0290
138	1	0.1374
139	1	0.0239
140	1	0.1029
141	1	0.0269
142	1	0.1343
143	0	0.1350
144	0	0.0465
145	0	0.0080
146	0	0.0559
147	0	0.1121
148	8	0.0567
149	8	0.2960
150	8	0.0178
151	3	0.1828
152	3	0.0269
153	2	0.1724
154	9	0.0397
155	0	0.0330
156	8	0.0544
157	8	0.0135
158	4	0.0727
159	5	0.0621
160	6	0.0816
161	6	0.0692
162	9	0.4557
163	4	0.2528
164	4	0.0104
165	5	0.2438
166	5	0.3218
167	5	0.0454
168	5	0.1785
169	5	0.0184
170	5	0.0233
171	5	0.0122
172	5	0.3123
173	5	0.1488
174	5	0.0104
175	5	0.0428
176	5	0.1450
177	5	0.0999
178	5	0.0002
179	5	0.0185
180	3	0.0530
181	2	0.0449
182	2	0.1743
183	2	0.0824
184	2	0.2299
185	2	0.1636
186	2	0.0184
187	7	0.1298
188	3	0.0167
189	3	0.0892
190	3	0.1286
191	7	0.2335
192	7	0.1483
193	7	0.0263
194	7	0.0074
195	7	0.2067
196	7	0.0647
197	7	0.1875
198	7	0.2952
199	7	0.2865
200	7	0.0130
201	7	0.2913
202	7	0.1080
203	7	0.0528
204	7	0.0173
205	9	0.0059
206	9	0.2566
207	9	0.0444
208	9	0.0669
209	9	0.0623
210	9	0.3901
211	9	0.0032
212	9	0.0823
213	9	0.1375
214	9	0.0322
215	9	0.0426
216	9	0.0560
217	8	0.1152
218	2	0.3075
219	2	0.2207
220	2	0.0080
221	8	0.4178
222	9	0.2330
223	9	0.1171
224	9	0.2583
225	3	0.2783
226	6	0.0648
227	8	0.0437
228	0	0.1855
229	0	0.0764
230	0	0.1514
231	5	0.0710
232	5	0.0175
233	5	0.0331
234	3	0.0315
235	3	0.0250
236	3	0.0116
237	3	0.0420
238	0	0.0789
239	0	0.0501
240	0	0.0186
241	0	0.0457
242	0	0.0350
243	1	0.1116
244	1	0.1660
245	1	0.0281
246	1	0.0072
247	2	0.1535
248	2	0.2671
249	1	0.0417
250	1	0.0257
251	1	0.0784
252	1	0.1439
253	5	0.0420
254	5	0.2350
255	5	0.1452
256	2	0.0057
257	2	0.1248
258	2	0.1837
259	2	0.0658
260	2	0.0859
261	2	0.0255
262	2	0.0634
263	0	0.2037
264	0	0.0064
265	0	0.0901
266	0	0.1439
267	0	0.0971
268	0	0.0005
269	8	0.1709
270	8	0.1169
271	8	0.3721
272	8	0.1218
273	8	0.0089
274	8	0.0060
275	8	0.0198
276	8	0.0334
277	8	0.0316
278	8	0.0522
279	4	0.0151
280	4	0.0415
281	4	0.1398
282	3	0.1952
283	3	0.0955
284	5	0.0390
285	5	0.1466
286	0	0.9012
287	1	0.1373
288	1	0.0555
289	4	0.0271
290	4	0.0497
291	4	0.0115
292	4	0.1698
293	4	0.0541
294	4	0.0719
295	4	0.1151
296	5	0.0332
297	5	0.2807
298	4	0.1584
299	4	0.4854
300	3	0.3601
301	3	0.0121
302	9	0.0692
303	9	0.1125
304	9	0.1156
305	9	0.0509
306	1	0.0387
307	1	0.1348
308	1	0.2114
309	1	0.0428
310	1	0.1225
311	0	0.0260
312	9	0.0605
313	4	0.0122
314	4	0.1258
315	3	0.0434
316	3	0.2003
317	3	0.1074
318	3	0.0383
319	3	0.0322
320	9	0.0262
321	9	0.0065
322	9	0.0186
323	9	0.1139
324	0	0.2965
325	0	0.0563
326	0	0.0043
327	0	0.1002
328	0	0.1719
329	1	0.1328
330	1	0.1900
331	1	0.0238
332	1	0.0786
333	5	0.0066
334	6	0.0207
335	6	0.1915
336	6	0.0001
337	7	0.3210
338	5	0.1248
339	5	0.0241
340	5	0.1069
341	5	0.0364
342	5	0.0348
343	7	0.0206
344	3	0.1125
345	7	0.1018
346	7	0.4895
347	7	0.0257
348	7	0.1235
349	7	0.0493
350	7	0.0987
351	7	0.0364
352	7	0.0158
353	7	0.1592
354	7	0.2256
355	0	0.0716
356	0	0.1040
357	3	0.0273
358	7	0.1353
359	7	0.0040
360	7	0.0412
361	7	0.2606
362	7	0.0732
363	4	0.1972
364	4	0.0578
365	4	0.0115
366	1	0.0654
367	1	0.1156
368	1	0.1120
369	1	0.0646
370	1	0.0655
371	9	0.0111
372	2	0.1558
373	2	0.0050
374	2	0.1446
375	2	0.2672
376	2	0.1440
377	5	0.0551
378	5	0.6873
379	5	0.0684
380	5	0.0740
381	5	0.0683
382	9	0.0007
383	4	0.0961
384	4	0.1043
385	2	0.0272
386	2	0.0064
387	2	0.0271
388	4	0.1150
389	4	0.0464
390	4	0.0467
391	4	0.0768
392	4	0.0161
393	8	0.0518
394	4	0.0261
395	6	0.0877
396	6	0.0680
397	2	0.1357
398	2	0.0278
399	2	0.0189
400	6	0.0577
401	6	0.7686
402	6	0.1382
403	6	0.0421
404	6	0.0737
405	6	0.1991
406	7	0.0002
407	7	0.0013
408	4	0.0423
409	4	0.0354
410	4	0.0366
411	5	0.0379
412	5	0.2894
413	1	0.0342
414	1	0.0518
415	1	0.0066
416	4	0.2006
417	2	0.0403
418	2	0.0357
419	2	0.0028
420	3	0.0476
421	6	0.1217
422	6	0.0330
423	6	0.0756
424	6	0.0134
425	6	0.0209
426	6	0.1197
427	6	0.0249
428	6	0.0805
429	6	0.1721
430	8	0.3269
431	8	0.1538
432	8	0.2905
433	3	0.0565
434	3	0.1515
435	3	0.0055
436	3	0.0424
437	3	0.0758
438	3	0.0632
439	1	0.0275
440	1	0.2076
441	1	0.0015
442	1	0.2579
443	1	0.0224
444	1	0.1352
445	0	0.0546
446	0	0.2288
447	0	0.0741
448	4	0.0368
449	8	0.0082
450	2	0.0518
451	2	0.0264
452	2	0.2176
453	2	0.0454
454	2	0.1669
455	2	0.2759
456	2	0.0022
457	8	0.0280
458	9	0.0202
459	9	0.0538
460	9	0.0615
461	9	0.0964
462	9	0.0025
463	3	0.0212
464	3	0.0081
465	3	0.0532
466	3	0.0514
467	3	0.0250
468	3	0.0507
469	3	0.1000
470	3	0.0198
471	3	0.2135
472	3	0.0722
473	3	0.0155
474	3	0.0830
475	3	0.0947
476	0	0.0488
477	0	0.0459
478	0	0.0439
479	0	0.1346
480	0	0.1730
481	0	0.2388
482	0	0.1539
483	0	0.0695
484	0	0.1231
485	0	0.0476
486	6	0.1166
487	6	0.0084
488	6	0.0471
489	6	0.2173
490	7	0.1513
491	7	0.2933
492	5	0.1254
493	5	0.0840
494	2	0.1998
495	2	0.0681
496	2	0.0589
497	2	0.2280
498	2	0.0739
499	2	0.0510
500	2	0.0729
501	3	0.0107
502	3	0.0023
503	3	0.0499
504	3	0.0520
505	3	0.0398
506	3	0.1449
507	3	0.0410
508	3	0.0873
509	6	0.0768
510	6	0.0218
511	0	0.0126
512	0	0.0542
513	0	0.1961
514	7	0.0519
515	7	0.0167
516	8	0.0021
517	8	0.0117
518	1	0.0573
519	1	0.0581
520	4	0.1483
521	4	0.0009
522	4	0.0030
523	4	0.6595
