Step	State	Value
0	0	0.1297
1	6	0.2733
2	4	0.0794
3	6	0.2012
4	0	0.1498
5	3	0.1769
6	1	0.0694
7	8	0.0984
8	9	0.6432
9	4	0.2312
10	0	0.2199
11	4	0.0123
12	3	0.1776
13	4	0.0163
14	1	0.0585
15	2	0.1261
16	5	0.0949
17	6	0.0015
18	8	0.0123
19	7	0.3956
20	1	0.1110
21	1	0.1521
22	9	0.0085
23	8	0.0197
24	9	0.1646
25	5	0.0800
26	8	0.3318
27	4	0.3849
28	2	0.0064
29	2	0.0401
30	5	0.0490
31	7	1.0000
32	2	0.1304
33	8	0.3284
34	4	0.2159
35	5	0.1496
36	1	0.2991
37	5	0.0912
38	1	0.1463
39	5	0.0429
40	1	0.0918
41	7	0.1702
42	7	0.4443
43	0	0.0843
44	9	0.1617
45	5	0.0061
46	6	0.1148
47	8	0.0471
48	1	0.1157
49	2	0.0856
50	4	0.5762
51	2	0.2340
52	6	0.0000
53	5	0.1364
54	5	0.0585
55	0	0.1878
56	4	0.0583
57	0	0.1439
58	5	0.2394
59	7	0.2443
60	1	0.0525
61	2	0.0342
62	1	0.0411
63	3	0.1287
64	1	0.0669
65	3	0.3413
66	7	0.3650
67	4	0.3863
68	6	0.1899
69	2	0.1368
70	1	0.1283
71	3	0.0350
72	3	0.0225
73	2	0.0380
74	2	0.0179
75	9	0.0569
76	8	0.0048
77	6	0.1317
78	1	0.1090
79	3	0.3794
80	3	0.3967
81	5	0.1394
82	2	0.4556
83	9	0.0760
84	8	0.2080
85	2	0.1546
86	0	0.0382
87	3	0.0260
88	4	0.0072
89	3	0.0591
90	1	0.0752
91	7	0.3546
92	3	0.0641
93	2	0.0705
94	0	0.0968
95	3	0.2669
96	4	0.2491
97	6	0.3346
98	9	0.1437
99	7	0.0747
